iter	Passed	Remaining
0	6	6370
1	11	5872
2	17	5677
3	21	5441
4	26	5282
5	32	5323
6	37	5275
7	41	5193
8	47	5211
9	52	5196
10	57	5201
11	62	5172
12	67	5146
13	72	5122
14	77	5121
15	83	5107
16	86	5025
17	92	5028
18	97	5051
19	103	5048
20	108	5041
21	113	5025
22	118	5015
23	123	5009
24	128	4997
25	133	4994
26	138	5002
27	144	4999
28	149	4993
29	154	4993
30	159	4981
31	164	4979
32	169	4972
33	175	4976
34	180	4989
35	186	4995
36	191	4996
37	197	5004
38	202	4998
39	208	4994
40	213	4988
41	218	4982
42	223	4970
43	229	4979
44	234	4975
45	239	4968
46	245	4982
47	251	4982
48	256	4972
49	261	4975
50	267	4973
51	272	4974
52	278	4985
53	284	4990
54	291	5006
55	297	5015
56	303	5017
57	309	5021
58	315	5027
59	320	5024
60	326	5022
61	331	5020
62	337	5014
63	342	5014
64	348	5010
65	353	5001
66	359	5000
67	364	4996
68	370	4995
69	376	5000
70	382	5001
71	388	5010
72	394	5011
73	400	5010
74	406	5009
75	412	5014
76	418	5019
77	425	5028
78	432	5036
79	438	5044
80	446	5062
81	453	5075
82	460	5085
83	466	5088
84	473	5101
85	480	5105
86	487	5110
87	493	5112
88	499	5115
89	506	5119
90	512	5118
91	518	5121
92	524	5114
93	530	5115
94	537	5118
95	543	5119
96	549	5116
97	555	5115
98	562	5114
99	568	5113
100	574	5112
101	580	5113
102	587	5114
103	593	5112
104	599	5112
105	606	5115
106	612	5113
107	618	5111
108	624	5107
109	631	5106
110	636	5099
111	642	5093
112	647	5084
113	653	5078
114	659	5074
115	664	5067
116	670	5060
117	676	5059
118	682	5053
119	689	5053
120	694	5047
121	700	5042
122	706	5036
123	711	5028
124	716	5018
125	722	5013
126	727	5001
127	732	4989
128	737	4981
129	742	4971
130	748	4963
131	753	4956
132	758	4947
133	764	4943
134	770	4935
135	774	4923
136	780	4917
137	786	4914
138	791	4904
139	796	4893
140	802	4890
141	808	4887
142	813	4873
143	818	4866
